timestamp,TimeUS,C,Roll,Pitch,Yaw,VN,VE,VD,dPD,PN,PE,PD,GX,GY,GZ,OH
1666652965.93827319,232506505,1,0.16,0.37,357.21,-0.06926458328962326,-0.16703101992607117,-0.05885796621441841,-0.06704532355070114,-10.046175956726074,-22.209857940673828,0.38471177220344543,0.08,-0.02,0.02,214.29
1666652965.97826529,232546497,1,0.16,0.37,357.21,-0.07179171591997147,-0.16777895390987396,-0.05894996598362923,-0.062472451478242874,-10.051626205444336,-22.228055953979492,0.38190779089927673,0.08,-0.02,0.02,214.29
1666652965.99831128,232566543,1,0.16,0.37,357.21,-0.07283271104097366,-0.16828510165214539,-0.059190522879362106,-0.06243476644158363,-10.053854942321777,-22.234838485717773,0.38058966398239136,0.08,-0.02,0.02,214.29
1666652966.01829910,232586531,1,0.16,0.37,357.21,-0.07354485988616943,-0.16873300075531006,-0.05946308746933937,-0.06299258023500443,-10.056756973266602,-22.244497299194336,0.37914180755615234,0.08,-0.02,0.02,214.29
1666652966.05829906,232626531,1,0.17,0.37,357.22,-0.07653413712978363,-0.17125937342643738,-0.05977757275104523,-0.06420785188674927,-10.066329956054688,-22.27375030517578,0.3764022886753082,0.08,-0.02,0.02,214.29
1666652966.09827423,232666506,1,0.17,0.37,357.22,-0.07953561097383499,-0.17341916263103485,-0.06014670431613922,-0.06526953727006912,-10.075164794921875,-22.30001449584961,0.3736514747142792,0.08,-0.02,0.02,214.29
1666652966.13826108,232706493,1,0.17,0.37,357.22,-0.08328155428171158,-0.17644435167312622,-0.06005840376019478,-0.06555749475955963,-10.08481502532959,-22.328567504882812,0.3707893192768097,0.08,-0.02,0.02,214.29
1666652966.17827225,232746504,1,0.16,0.38,357.22,-0.0863877460360527,-0.17866653203964233,-0.06003778800368309,-0.0669984519481659,-10.09223747253418,-22.349140167236328,0.36797812581062317,0.08,-0.02,0.02,214.29
1666652966.19832826,232766560,1,0.16,0.37,357.22,-0.08744224160909653,-0.1794288158416748,-0.06024710088968277,-0.06783922761678696,-10.095154762268066,-22.356685638427734,0.3666764497756958,0.08,-0.02,0.02,214.29
1666652966.21826124,232786493,1,0.16,0.37,357.22,-0.08904890716075897,-0.1804114729166031,-0.060749318450689316,-0.06884446740150452,-10.099225044250488,-22.367839813232422,0.3652009665966034,0.08,-0.02,0.02,214.29
1666652966.25830007,232826532,1,0.16,0.38,357.22,-0.0900011956691742,-0.18326623737812042,-0.06070615351200104,-0.06565170735120773,-10.10543155670166,-22.39752769470215,0.3630324900150299,0.08,-0.02,0.02,214.29
1666652966.29832029,232866552,1,0.17,0.38,357.22,-0.09107476472854614,-0.18555456399917603,-0.060724422335624695,-0.059347327798604965,-10.111252784729004,-22.424211502075195,0.36087796092033386,0.08,-0.02,0.02,214.29
1666652966.33830929,232906541,1,0.17,0.38,357.22,-0.09188828617334366,-0.18779627978801727,-0.0604780912399292,-0.054347530007362366,-10.117319107055664,-22.453351974487305,0.3586982786655426,0.08,-0.02,0.02,214.29
1666652966.37828422,232946516,1,0.17,0.38,357.21,-0.09352994710206985,-0.18931704759597778,-0.060412075370550156,-0.052658144384622574,-10.122432708740234,-22.474407196044922,0.3563889265060425,0.08,-0.02,0.02,214.29
1666652966.39828515,232966517,1,0.16,0.37,357.21,-0.09462597966194153,-0.18997614085674286,-0.06058245897293091,-0.05282960832118988,-10.124711990356445,-22.48225975036621,0.35521188378334045,0.08,-0.02,0.02,214.29
1666652966.41827226,232986504,1,0.16,0.38,357.21,-0.09496049582958221,-0.19126379489898682,-0.06067958101630211,-0.052182652056217194,-10.128859519958496,-22.5008544921875,0.3543216586112976,0.08,-0.02,0.02,214.29
1666652966.45828915,233026521,1,0.17,0.38,357.21,-0.09643831849098206,-0.19237001240253448,-0.06040250509977341,-0.048502787947654724,-10.135601043701172,-22.528076171875,0.3524664342403412,0.08,-0.02,0.02,214.29
1666652966.49830818,233066540,1,0.17,0.38,357.21,-0.09794458746910095,-0.1932957023382187,-0.06065916642546654,-0.04511556774377823,-10.141916275024414,-22.55256462097168,0.35060977935791016,0.08,-0.02,0.02,214.29
1666652966.53831625,233106548,1,0.17,0.37,357.21,-0.09895181655883789,-0.19419898092746735,-0.06054897606372833,-0.043436285108327866,-10.148470878601074,-22.578981399536133,0.34884127974510193,0.08,-0.02,0.02,214.29
1666652966.57829213,233146524,1,0.17,0.37,357.21,-0.10041379183530807,-0.1944764256477356,-0.06051065772771835,-0.04325168579816818,-10.154060363769531,-22.598451614379883,0.34684547781944275,0.08,-0.02,0.02,214.29
1666652966.59830618,233166538,1,0.17,0.37,357.21,-0.10129204392433167,-0.1945977658033371,-0.0605674646794796,-0.043730478733778,-10.156526565551758,-22.605802536010742,0.3457746207714081,0.08,-0.02,0.02,214.29
1666652966.61827517,233186507,1,0.17,0.37,357.21,-0.10063518583774567,-0.1947701871395111,-0.06019771844148636,-0.03976433351635933,-10.15899658203125,-22.624237060546875,0.3459063470363617,0.08,-0.02,0.02,214.29
