timestamp,TimeUS,Lat,Lng,Alt,RelHomeAlt,RelOriginAlt
1666653790.48114777,240925557,42.7306977,-84.4904207,206.47999572753906,0.004129499197006226,-0.07587049901485443
1666653790.48130083,240925710,42.7306977,-84.4904207,206.47999572753906,0.004129499197006226,-0.07587049901485443
1666653790.52039480,240964804,42.7306977,-84.4904208,206.47999572753906,0.006343431770801544,-0.07365656644105911
1666653790.56039095,241004800,42.7306978,-84.49042089999999,206.47999572753906,0.00834762305021286,-0.0716523751616478
1666653790.58108997,241025499,42.7306978,-84.490421,206.47999572753906,0.009580090641975403,-0.07041990756988525
1666653790.60038376,241044793,42.7306978,-84.490421,206.489990234375,0.010055072605609894,-0.06994492560625076
1666653790.64031196,241084721,42.7306978,-84.49042109999999,206.489990234375,0.01105557382106781,-0.06894442439079285
1666653790.68087077,241125280,42.730697899999996,-84.4904212,206.489990234375,0.011579535901546478,-0.06842046231031418
1666653790.68100786,241125417,42.730697899999996,-84.4904212,206.489990234375,0.011579535901546478,-0.06842046231031418
1666653790.72085881,241165268,42.730698,-84.4904213,206.489990234375,0.011912383139133453,-0.0680876150727272
1666653790.76033688,241204746,42.730698,-84.4904214,206.489990234375,0.012280546128749847,-0.06771945208311081
1666653790.78092098,241225330,42.7306981,-84.4904215,206.489990234375,0.012519054114818573,-0.06748094409704208
1666653790.80029178,241244701,42.7306981,-84.4904215,206.489990234375,0.012502036988735199,-0.06749796122312546
1666653790.84030795,241284717,42.7306982,-84.49042159999999,206.489990234375,0.011799037456512451,-0.0682009607553482
1666653790.88092494,241325334,42.7306982,-84.4904217,206.489990234375,0.011121183633804321,-0.06887881457805634
1666653790.88103676,241325446,42.7306982,-84.4904217,206.489990234375,0.011121183633804321,-0.06887881457805634
1666653790.92091775,241365327,42.7306983,-84.4904218,206.489990234375,0.010567955672740936,-0.06943204253911972
1666653790.96039891,241404808,42.7306983,-84.4904219,206.489990234375,0.010211460292339325,-0.06978853791952133
1666653790.98077679,241425186,42.7306983,-84.490422,206.489990234375,0.01002645492553711,-0.06997354328632355
1666653791.00031281,241444722,42.7306983,-84.490422,206.47999572753906,0.009783521294593811,-0.07021647691726685
1666653791.04032683,241484736,42.7306984,-84.49042209999999,206.47999572753906,0.008844144642353058,-0.0711558535695076
1666653791.08079576,241525205,42.730698499999995,-84.4904222,206.47999572753906,0.008010990917682648,-0.07198900729417801
1666653791.08091283,241525322,42.730698499999995,-84.4904222,206.47999572753906,0.008010990917682648,-0.07198900729417801
1666653791.12086391,241565273,42.730698499999995,-84.49042229999999,206.47999572753906,0.007362917065620422,-0.07263708114624023
1666653791.16032076,241604730,42.730698499999995,-84.49042229999999,206.47999572753906,0.00700000673532486,-0.0729999914765358
