timestamp,TimeUS,C,Roll,Pitch,Yaw,VN,VE,VD,dPD,PN,PE,PD,GX,GY,GZ,OH
1679660629.35961699,113298810,2,0.13,-0.68,334.26,-0.027124106884002686,-0.01956232264637947,0.011224421672523022,0.015027930960059166,1.8622647523880005,0.0322030670940876,-1.4882090091705322,-0.15,0.1,0.21,264.27
1679660629.45962811,113398821,2,0.13,-0.68,334.25,-0.026192007586359978,-0.018661076202988625,0.012160087935626507,0.015021423809230328,1.8631174564361572,0.03300086408853531,-1.4873162508010864,-0.15,0.1,0.21,264.27
1679660629.55967903,113498872,2,0.13,-0.6900000000000001,334.25,-0.025404416024684906,-0.018704209476709366,0.012268589809536934,0.012511549517512321,1.8641414642333984,0.033322788774967194,-1.4862948656082153,-0.15,0.1,0.21,264.27
1679660629.65969992,113598893,2,0.14,-0.68,334.23,-0.023922208696603775,-0.018623318523168564,0.013080401346087456,0.006061889696866274,1.865370273590088,0.03362629935145378,-1.486060380935669,-0.15,0.1,0.21,264.27
1679660629.75967789,113698871,2,0.14,-0.6900000000000001,334.22,-0.023255018517374992,-0.018298441544175148,0.014238602481782436,0.004012242425233126,1.8663078546524048,0.03357825055718422,-1.485413670539856,-0.15,0.1,0.21,264.27
1679660629.85966301,113798856,2,0.14,-0.6900000000000001,334.2,-0.022298647090792656,-0.01763920485973358,0.01551748812198639,0.019690150395035744,1.8667736053466797,0.03377808257937431,-1.483056902885437,-0.15,0.1,0.21,264.27
1679660629.95967197,113898865,2,0.14,-0.6900000000000001,334.2,-0.022749554365873337,-0.016439173370599747,0.016012031584978104,0.03191758692264557,1.8666746616363525,0.033881090581417084,-1.4802989959716797,-0.15,0.1,0.21,264.27
1679660630.05964589,113998839,2,0.14,-0.6900000000000001,334.19,-0.0233310479670763,-0.016623228788375854,0.015480813570320606,0.02060091122984886,1.8660967350006104,0.034015607088804245,-1.4789845943450928,-0.15,0.1,0.21,264.27
1679660630.15961504,114098808,2,0.14,-0.6900000000000001,334.17,-0.025048838928341866,-0.01702267676591873,0.015873771160840988,0.00778170907869935,1.8649463653564453,0.03383522853255272,-1.4781185388565063,-0.15,0.1,0.21,264.27
1679660630.25960803,114198801,2,0.13,-0.6900000000000001,334.18,-0.024049850180745125,-0.016450894996523857,0.0161577221006155,0.008005291223526001,1.864079475402832,0.033907707780599594,-1.4769959449768066,-0.15,0.1,0.21,264.27
1679660630.35961390,114298807,2,0.12,-0.68,334.17,-0.022731060162186623,-0.01583409495651722,0.016591686755418777,0.007688998710364103,1.8633345365524292,0.03395010158419609,-1.4761924743652344,-0.15,0.1,0.21,264.27
1679660630.45967793,114398871,2,0.13,-0.68,334.17,-0.021296367049217224,-0.015518691390752792,0.017691317945718765,0.017989229410886765,1.8626154661178589,0.033573996275663376,-1.4738460779190063,-0.15,0.1,0.21,264.27
1679660630.55965996,114498853,2,0.13,-0.6900000000000001,334.16,-0.021665209904313087,-0.015493630431592464,0.018725134432315826,0.03044160082936287,1.8617597818374634,0.032801754772663116,-1.4711982011795044,-0.15,0.1,0.21,264.27
1679660630.65968895,114598882,2,0.13,-0.6900000000000001,334.16,-0.019177382811903954,-0.013750427402555943,0.019066834822297096,0.02009233832359314,1.8618749380111694,0.032855354249477386,-1.4698607921600342,-0.15,0.1,0.21,264.27
1679660630.75965309,114698846,2,0.13,-0.6900000000000001,334.17,-0.01633559539914131,-0.011962901800870895,0.020243091508746147,0.006705573294311762,1.8624824285507202,0.03325800970196724,-1.4691803455352783,-0.15,0.1,0.21,264.27
1679660630.85966587,114798859,2,0.13,-0.6900000000000001,334.17,-0.015491977334022522,-0.008893989026546478,0.018670400604605675,-0.015542654320597649,1.8624707460403442,0.034640032798051834,-1.4710344076156616,-0.15,0.1,0.21,264.27
1679660630.95964193,114898835,2,0.13,-0.6900000000000001,334.17,-0.015495341271162033,-0.004857531748712063,0.017563460394740105,-0.03681430593132973,1.861903429031372,0.03648291528224945,-1.4736326932907104,-0.15,0.1,0.21,264.27
1679660631.05960488,114998798,2,0.13,-0.6900000000000001,334.17,-0.015202618204057217,-0.0013108333805575967,0.018230069428682327,-0.026761846616864204,1.8615665435791016,0.038899291306734085,-1.4752355813980103,-0.15,0.1,0.21,264.27
1679660631.15960407,115098797,2,0.14,-0.68,334.17,-0.01402085367590189,0.002756321569904685,0.018920639529824257,-0.012861213646829128,1.8612782955169678,0.0414854921400547,-1.476112723350525,-0.15,0.1,0.21,264.27
1679660631.25961494,115198808,2,0.13,-0.68,334.16,-0.012834170833230019,0.004829940851777792,0.019347118213772774,-0.010013450868427753,1.8608248233795166,0.04363652318716049,-1.4773621559143066,-0.15,0.1,0.21,264.27
1679660631.35966802,115298861,2,0.14,-0.68,334.15000000000003,-0.013223349116742611,0.006709545850753784,0.01916823722422123,-0.009256303310394287,1.860148549079895,0.045372433960437775,-1.4780861139297485,-0.15,0.1,0.21,264.27
1679660631.45964003,115398833,2,0.13,-0.68,334.14,-0.014240656979382038,0.008657454513013363,0.019400419667363167,-0.010138369165360928,1.8585230112075806,0.04707444831728935,-1.4796147346496582,-0.15,0.1,0.21,264.27
1679660631.55968690,115498880,2,0.13,-0.68,334.14,-0.016169773414731026,0.010157751850783825,0.018745433539152145,-0.018570847809314728,1.8563045263290405,0.0486382432281971,-1.4812427759170532,-0.15,0.1,0.21,264.27
1679660631.65966511,115598858,2,0.13,-0.67,334.14,-0.01516074500977993,0.01174888201057911,0.018645403906702995,-0.024326378479599953,1.8553731441497803,0.05058811977505684,-1.483989953994751,-0.15,0.1,0.21,264.27
1679660631.75967407,115698867,2,0.13,-0.67,334.13,-0.014553898945450783,0.013786948285996914,0.018358387053012848,-0.03233432397246361,1.8550190925598145,0.05269937962293625,-1.4866316318511963,-0.15,0.1,0.21,264.27
1679660631.85966301,115798856,2,0.12,-0.67,334.12,-0.010997410863637924,0.014718445017933846,0.018338624387979507,-0.016787627711892128,1.8564331531524658,0.053948163986206055,-1.4874778985977173,-0.15,0.1,0.21,264.27
1679660631.95963407,115898827,2,0.12,-0.66,334.12,-0.008016805164515972,0.014830703847110271,0.018721507862210274,0.0074659972451627254,1.8585842847824097,0.054740674793720245,-1.4866912364959717,-0.15,0.1,0.21,264.27
1679660632.05962396,115998817,2,0.12,-0.66,334.11,-0.005976303946226835,0.015333418734371662,0.018869560211896896,0.013502144254744053,1.860459804534912,0.055122144520282745,-1.4862442016601562,-0.15,0.1,0.21,264.27
1679660632.15965009,116098843,2,0.11,-0.66,334.11,-0.00575045682489872,0.014919634908437729,0.01985599659383297,0.008496839553117752,1.8619555234909058,0.05536675453186035,-1.48585045337677,-0.15,0.1,0.21,264.27
1679660632.25969505,116198888,2,0.11,-0.66,334.11,-0.004352999851107597,0.012236391194164753,0.020157353952527046,-0.003921470604836941,1.862583041191101,0.055332034826278687,-1.4869686365127563,-0.15,0.1,0.21,264.27
1679660632.35967803,116298871,2,0.11,-0.66,334.09000000000003,-0.0032629803754389286,0.015876680612564087,0.018567727878689766,-0.017357179895043373,1.8627002239227295,0.05533106252551079,-1.488103985786438,-0.15,0.1,0.21,264.27
1679660632.45968199,116398875,2,0.09,-0.66,334.11,-0.008634175173938274,0.016544179990887642,0.018391547724604607,-0.003415353363379836,1.86332368850708,0.05559990182518959,-1.4875224828720093,-0.15,0.1,0.21,264.27
1679660632.55966306,116498856,2,0.12,-0.65,334.07,0.005061695817857981,0.019590388983488083,0.01961250975728035,0.014963667839765549,1.8648277521133423,0.055331796407699585,-1.4862371683120728,-0.15,0.1,0.21,264.27
1679660632.65968394,116598877,2,0.09,-0.63,334.09000000000003,-0.005442468915134668,0.025009268894791603,0.020097356289625168,0.014176364988088608,1.8656609058380127,0.05456837639212608,-1.4856469631195068,-0.15,0.1,0.21,264.27
1679660632.75965190,116698845,2,0.14,-0.5700000000000001,334.1,-0.018521713092923164,0.021442843601107597,0.014385214075446129,-0.0013506271643564105,1.8650567531585693,0.05397278815507889,-1.485554575920105,-0.15,0.1,0.21,264.27
1679660632.85962510,116798818,2,0.1,-0.55,334.05,0.023749645799398422,0.006062257569283247,0.023556169122457504,0.015329092741012573,1.8656963109970093,0.053706660866737366,-1.4841861724853516,-0.15,0.1,0.21,264.27
1679660632.95963287,116898826,2,0.12,-0.58,334.04,0.007818314246833324,-0.014414154924452305,0.01786184497177601,0.02084306627511978,1.867613434791565,0.051916129887104034,-1.482178807258606,-0.15,0.1,0.21,264.27
1679660633.05961108,116998804,2,0.13,-0.58,334.05,0.0064619057811796665,0.013907462358474731,0.019548123702406883,0.02447524666786194,1.870261788368225,0.05073006823658943,-1.4799171686172485,-0.15,0.1,0.21,264.27
1679660633.15966392,117098857,2,0.09,-0.56,334.01,0.011192383244633675,-0.016044097021222115,0.022270694375038147,0.024469411000609398,1.8739064931869507,0.050267718732357025,-1.4781265258789062,-0.15,0.1,0.21,264.27
1679660633.25972009,117198913,2,0.12,-0.52,334.0,-0.004590857774019241,0.0015307596186175942,0.016263145953416824,0.010419300757348537,1.8758223056793213,0.0482405424118042,-1.4768762588500977,-0.15,0.1,0.21,264.27
1679660633.35968709,117298880,2,0.1,-0.46,333.99,-0.009927740320563316,0.0139335161074996,0.0035464323591440916,-0.005742257460951805,1.8767215013504028,0.04668877646327019,-1.4763447046279907,-0.15,0.1,0.21,264.27
1679660633.45966005,117398853,2,0.12,-0.32,333.97,-0.009723612107336521,0.008237271569669247,-0.011837403289973736,-0.004013508092612028,1.876753807067871,0.044720206409692764,-1.4742677211761475,-0.15,0.1,0.21,264.27
1679660633.55967093,117498864,2,0.17,0.26,333.97,-0.02063172683119774,0.02057325281202793,-0.22252653539180756,-0.19157226383686066,1.87543785572052,0.04303064942359924,-1.4820334911346436,-0.15,0.1,0.22,264.27
1679660633.65965295,117598846,2,0.55,1.19,333.92,-0.02567973919212818,0.02666483446955681,-0.537014365196228,-0.5208011865615845,1.873652696609497,0.04274170100688934,-1.5195846557617188,-0.15,0.1,0.22,264.27
1679660633.75961208,117698805,2,0.97,1.69,333.7,-0.028280435130000114,0.03987758606672287,-0.7201440930366516,-0.7354316115379333,1.8712064027786255,0.04412257671356201,-1.584903597831726,-0.15,0.1,0.22,264.27
1679660633.85961604,117798809,2,1.1400000000000001,1.81,333.45,-0.04323756322264671,0.06253541260957718,-0.7188596129417419,-0.8368624448776245,1.8667713403701782,0.04925237596035004,-1.6724498271942139,-0.15,0.1,0.23,264.27
1679660633.95965791,117898851,2,0.8,1.6300000000000001,333.13,-0.06264397501945496,0.06728938221931458,-0.7058846950531006,-0.9170458316802979,1.86037278175354,0.05684233456850052,-1.761301875114441,-0.15,0.1,0.23,264.27
1679660634.05969501,117998888,2,0.2,0.19,332.85,-0.061198461800813675,0.07988189160823822,-0.6528357863426208,-0.7892023324966431,1.8520846366882324,0.0641479343175888,-1.8372102975845337,-0.15,0.1,0.23,264.27
1679660634.15967393,118098867,2,0.08,-0.99,332.58,-0.05739741399884224,0.07095061987638474,-0.5614830851554871,-0.6122341752052307,1.843553066253662,0.07105080038309097,-1.9013174772262573,-0.15,0.1,0.23,264.27
1679660634.25969100,118198884,2,0.21,-0.2,332.36,-0.05121014267206192,0.05659765005111694,-0.4601745009422302,-0.439214825630188,1.8374499082565308,0.07275308668613434,-1.949181079864502,-0.15,0.1,0.24,264.27
1679660634.35967398,118298867,2,0.32,0.78,332.18,-0.0333898589015007,0.05190348997712135,-0.3979739546775818,-0.31828469038009644,1.8331208229064941,0.07183284312486649,-1.9875198602676392,-0.15,0.1,0.24,264.27
1679660634.45967388,118398867,2,0.37,0.66,331.99,-0.04110613837838173,0.043874647468328476,-0.29457587003707886,-0.22881972789764404,1.8266342878341675,0.07121163606643677,-2.0179901123046875,-0.15,0.1,0.24,264.27
1679660634.55964303,118498836,2,0.04,0.29,331.83,-0.048347268253564835,0.03585045039653778,-0.21852612495422363,-0.1845053732395172,1.8190162181854248,0.07104548811912537,-2.043091058731079,-0.15,0.1,0.24,264.27
1679660634.65961695,118598810,2,0.86,0.9400000000000001,179.04,-0.06658872961997986,0.020707037299871445,-0.16353654861450195,-0.15695978701114655,1.8068020343780518,0.0701761245727539,-2.061068058013916,-0.15,0.1,0.24,264.27
