,37-39,37-39,37-39,37-53,37-53,37-53,39-53,39-53,39-53
direction,PD,PE,PN,PD,PE,PN,PD,PE,PN
timestamp,,,,,,,,,
0 days 00:00:00.400045,-2.0071397721767426,2.965946316719055,-7.943809509277344,-0.578694190297808,1.4944243345941817,-7.735077960150583,1.4284455818789346,-1.4715219821248735,0.2087315491267613
0 days 00:00:00.439997,-2.0083866715431213,2.966086268424988,-7.943855290301144,-0.5783627714429582,1.494544105870383,-7.735665534223829,1.4300239001001631,-1.4715421625546048,0.20818975607731507
0 days 00:00:00.440024,-2.009110818306605,2.966106414794922,-7.944132546583812,-0.5780313525881087,1.4946638771465848,-7.736253108297076,1.4310794657184962,-1.471442537648337,0.20787943828673586
0 days 00:00:00.480013,-2.0100881656010947,2.9658838510513306,-7.94468803734829,-0.577953134264265,1.4945409383092607,-7.7371189168521335,1.4321350313368297,-1.4713429127420699,0.2075691204961566
0 days 00:00:00.480030,-2.0105603635311127,2.9660480320453644,-7.94471519254148,-0.5773697665759498,1.494804744209562,-7.737456389835903,1.433190596955163,-1.4712432878358024,0.20725880270557737
0 days 00:00:00.499953,-2.0108559876680374,2.966148555278778,-7.944805391598493,-0.5767863988876343,1.4950685501098633,-7.737793862819672,1.4340695887804031,-1.4710800051689148,0.2070115287788212
0 days 00:00:00.500001,-2.011151611804962,2.9662490785121918,-7.944895590655506,-0.5764449238777161,1.4952834759439741,-7.73809923018728,1.434706687927246,-1.4709656025682176,0.20679636046822583
0 days 00:00:00.500052,-2.0114166736602783,2.966296911239624,-7.944974250470598,-0.5761034488677979,1.495498401778085,-7.738404597554888,1.4353132247924805,-1.470798509461539,0.20656965291571053
0 days 00:00:00.520011,-2.0116777420043945,2.9661704301834106,-7.94540100141118,-0.5757579803466797,1.49553901382855,-7.739058056047985,1.4359197616577148,-1.4706314163548606,0.2063429453631952
0 days 00:00:00.520021,-2.01214603583018,2.966183304786682,-7.945760995149612,-0.5756197373072307,1.4957189815385001,-7.739644757338933,1.4365262985229492,-1.470464323248182,0.20611623781067986
0 days 00:00:00.560025,-2.013779242833455,2.966593623161316,-7.945823901332915,-0.5754814942677815,1.49589894924845,-7.74023145862988,1.4382977485656738,-1.470694673912866,0.2055924427030342
0 days 00:00:00.560043,-2.0145776867866516,2.966670076052348,-7.946065898363789,-0.5753432512283325,1.4960789169584001,-7.740818159920829,1.439234435558319,-1.4705911590939478,0.20524773844296026
0 days 00:00:00.599957,-2.0155426263809204,2.966781695683797,-7.946350651793182,-0.575371503829956,1.4962940514087677,-7.741447617610295,1.4401711225509644,-1.4704876442750294,0.2049030341828863
