direction,PE,PE,PE,PE,PE,PN,PN,PN,PN,PN,PD,PD,PD,PD,PD
log_diff,37,39,54,80,95,37,39,54,80,95,37,39,54,80,95
timestamp,,,,,,,,,,,,,,,
0 days 00:00:00.720016,-1.7641699314117432,1.203960359096527,-0.9631788664393954,-0.19453281660874683,0.0,7.965439796447754,0.015577762387692849,-0.3580039242903391,0.05699990068872764,0.0,1.6758111715316772,-0.3485256433486938,-1.979668590757582,0.38421481847763056,0.0
0 days 00:00:00.720028,-1.7641637921333313,1.2042369842529297,-0.9634167949358622,-0.194460478093889,0.0,7.966015577316284,0.0154681857675313,-0.3579601645469665,0.057502138531870244,0.0,1.6762763261795044,-0.3490183055400848,-1.979425589243571,0.38471597433090204,0.0
0 days 00:00:00.760010,-1.7641576528549194,1.2046926021575928,-0.9636547234323289,-0.1943881395790312,0.0,7.9665913581848145,0.01540459273383015,-0.3579164048035939,0.05800437637501286,0.0,1.6767414808273315,-0.35009491443634033,-1.97918258772956,0.3852171301841736,0.0
0 days 00:00:00.760046,-1.7641852100690205,1.205148220062256,-0.9638926519287957,-0.19431580106417337,0.0,7.96681014696757,0.015340999700129,-0.3578726450602213,0.058506614218155464,0.0,1.6769478917121887,-0.3511715233325958,-1.978939586215549,0.38571828603744507,0.0
0 days 00:00:00.799948,-1.7642127672831218,1.205365210771561,-0.9641305804252625,-0.19424346254931554,0.0,7.967028935750325,0.015313636045902924,-0.3578288853168487,0.05900885206129808,0.0,1.677154302597046,-0.35172102600336075,-1.978696584701538,0.38621944189071655,0.0
0 days 00:00:00.799981,-1.764240324497223,1.2055822014808655,-0.9642884135246277,-0.19417112403445771,0.0,7.967247724533081,0.01528627239167685,-0.35776297070763324,0.05951108990444069,0.0,1.677360713481903,-0.35227052867412567,-1.978470509702509,0.38672059774398804,0.0
0 days 00:00:00.799999,-1.764267881711324,1.2057991921901703,-0.9644462466239929,-0.1940987855195999,0.0,7.967466513315837,0.015258908737450776,-0.35769705609841773,0.0600133277475833,0.0,1.6775671243667603,-0.3528200313448906,-1.9782444347034802,0.3872217535972595,0.0
0 days 00:00:00.800044,-1.7642954389254253,1.206016182899475,-0.9646040797233582,-0.1940407220806394,0.0,7.967685302098592,0.0152315450832247,-0.3576311414892023,0.06093045004776537,0.0,1.6777735352516174,-0.3533695340156555,-1.9780183597044512,0.38757284198488506,0.0
0 days 00:00:00.800050,-1.7643229961395264,1.2064327597618103,-0.9647619128227234,-0.1939826586416789,0.0,7.967904090881348,0.0151935401372611,-0.3575652268799868,0.06184757234794744,0.0,1.6779799461364746,-0.3544970750808716,-1.9777922847054221,0.38792393037251066,0.0
0 days 00:00:00.840009,-1.764272153377533,1.2068493366241455,-0.9649197459220886,-0.19392459520271843,0.0,7.968398571014404,0.0151555351912975,-0.35749931227077136,0.06276469464812952,0.0,1.678331732749939,-0.3556246161460876,-1.977566209706393,0.3882750187601362,0.0
0 days 00:00:00.840069,-1.7642213106155396,1.2070712447166443,-0.9650775790214539,-0.19386653176375795,0.0,7.968893051147461,0.01524908933788535,-0.35743339766155585,0.06368181694831158,0.0,1.678683519363403,-0.355854719877243,-1.9773401347073642,0.38862610714776175,0.0
