timestamp,TimeUS,I,Status,GMS,GWk,NSats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U
1666744971.19899988,1451509142,0,3,261789199,2233,12,1.08,42.730945399999996,-84.4903092,272.87,0.05830952152609825,112.16633605957031,-0.007000000216066837,0.0,1
1666744971.35792303,1451668065,0,3,261789399,2233,12,1.08,42.730944099999995,-84.49030959999999,272.7,0.06997142732143402,30.963756561279297,0.04200000315904617,0.0,1
1666744971.55794001,1451868082,0,3,261789599,2233,12,1.08,42.7309426,-84.4903102,272.51,0.05000000447034836,143.13009643554688,-0.014000000432133675,0.0,1
1666744971.77790904,1452088051,0,3,261789799,2233,12,1.08,42.730941099999995,-84.4903108,272.32,0.049648769199848175,161.20010375976562,0.07300000637769699,0.0,1
1666744971.95800495,1452268147,0,3,261789999,2233,12,1.08,42.7309396,-84.4903112,272.15,0.12280066311359406,173.4536895751953,0.03800000250339508,0.0,1
1666744972.15794301,1452468085,0,3,261790199,2233,12,1.08,42.730938099999996,-84.4903116,272.01,0.05968249589204788,211.2930450439453,-0.004000000189989805,0.0,1
1666744972.35799599,1452668138,0,3,261790399,2233,12,1.08,42.7309367,-84.4903121,271.86,0.037443291395902634,325.8855285644531,0.06599999964237213,0.0,1
1666744972.55793786,1452868080,0,3,261790599,2233,12,1.08,42.7309355,-84.4903126,271.72,0.06120457872748375,4.68589973449707,0.0990000069141388,0.0,1
1666744972.75794387,1453068086,0,3,261790799,2233,12,1.08,42.7309342,-84.4903131,271.57,0.015000000596046448,126.8698959350586,0.01600000075995922,0.0,1
1666744972.95791888,1453268061,0,3,261790999,2233,12,1.08,42.730932599999996,-84.4903137,271.34000000000003,0.09093404561281204,188.21922302246094,0.04700000211596489,0.0,1
1666744973.15794086,1453468083,0,3,261791199,2233,12,1.08,42.7309312,-84.4903142,271.19,0.051078375428915024,203.05130004882812,-0.03500000014901161,0.0,1
1666744973.35797286,1453668115,0,3,261791399,2233,12,1.08,42.7309299,-84.4903147,271.08,0.005000000353902578,53.13010025024414,0.03800000250339508,0.0,1
1666744973.55799103,1453868133,0,3,261791599,2233,12,1.08,42.7309285,-84.49031529999999,270.93,0.0687677264213562,229.12759399414062,-0.01900000125169754,0.0,1
1666744973.75794792,1454068090,0,3,261791799,2233,12,1.08,42.7309269,-84.4903159,270.76,0.023537207394838333,102.2647705078125,0.04800000041723251,0.0,1
1666744973.97794294,1454288085,0,3,261791999,2233,12,1.08,42.7309256,-84.49031629999999,270.64,0.03224903345108032,29.74488067626953,-0.00800000037997961,0.0,1
1666744974.15795588,1454468098,0,3,261792199,2233,12,1.08,42.7309245,-84.4903166,270.58,0.08558622002601624,313.5797424316406,0.11000000685453415,0.0,1
1666744974.35797000,1454668112,0,3,261792399,2233,12,1.08,42.730923499999996,-84.4903169,270.48,0.1047377735376358,42.678466796875,-0.014000000432133675,0.0,1
1666744974.55794501,1454868087,0,3,261792599,2233,12,1.08,42.7309226,-84.49031699999999,270.41,0.09604686498641968,14.470293045043945,0.0990000069141388,0.0,1
1666744974.75799704,1455068139,0,3,261792799,2233,12,1.08,42.730921599999995,-84.4903173,270.32,0.03801315650343895,243.43496704101562,-0.08900000154972076,0.0,1
1666744974.95801401,1455268156,0,3,261792999,2233,12,1.08,42.730920399999995,-84.49031769999999,270.22,0.035171013325452805,165.1735076904297,-0.08900000154972076,0.0,1
1666744975.15793490,1455468077,0,3,261793199,2233,12,1.08,42.730919199999995,-84.490318,270.1,0.09192388504743576,8.130102157592773,-0.021000001579523087,0.0,1
1666744975.35795808,1455668100,0,3,261793399,2233,12,1.08,42.7309184,-84.4903181,270.09000000000003,0.08502352982759476,358.652099609375,0.04800000041723251,0.0,1
1666744975.55798602,1455868128,0,3,261793599,2233,12,1.08,42.7309176,-84.4903183,270.04,0.05048762261867523,352.0303955078125,0.02200000174343586,0.0,1
1666744975.75793886,1456068081,0,3,261793799,2233,12,1.08,42.7309166,-84.4903186,269.95,0.05600893124938011,1.023030161857605,0.026000000536441803,0.0,1
