timestamp,TimeUS,DesRoll,Roll,DesPitch,Pitch,DesYaw,Yaw,ErrRP,ErrYaw,AEKF
1682339297.82036901,75019352,0.0,-0.58,0.0,0.91,97.12,97.11,0.0,0.01,3
1682339297.92027211,75119255,0.0,-0.59,0.0,0.91,97.12,97.10000000000001,0.0,0.01,3
1682339298.02028012,75219263,0.0,-0.59,0.0,0.91,97.12,97.10000000000001,0.0,0.01,3
1682339298.12023306,75319216,0.0,-0.59,0.0,0.91,97.12,97.09,0.0,0.02,3
1682339298.22028208,75419265,0.0,-0.59,0.0,0.91,97.12,97.09,0.0,0.02,3
1682339298.32046914,75519452,0.0,-0.59,0.0,0.9,97.12,97.10000000000001,0.0,0.02,3
1682339298.41993093,75618914,0.0,-0.6,0.0,0.9,97.12,97.10000000000001,0.0,0.02,3
1682339298.52000713,75718990,0.0,-0.6,0.0,0.9,97.12,97.11,0.0,0.01,3
1682339298.62005401,75819037,0.0,-0.6,0.0,0.9,97.12,97.10000000000001,0.01,0.01,3
1682339298.72017002,75919153,0.0,-0.6,0.0,0.89,97.12,97.10000000000001,0.01,0.01,3
1682339298.82011199,76019095,0.0,-0.59,0.0,0.89,97.12,97.09,0.01,0.01,3
1682339298.92010593,76119089,0.0,-0.59,0.0,0.88,97.12,97.09,0.01,0.01,3
1682339299.02028394,76219267,0.0,-0.59,0.0,0.88,97.12,97.07000000000001,0.01,0.02,3
1682339299.11999607,76318979,0.0,-0.59,0.0,0.87,97.12,97.06,0.01,0.02,3
1682339299.22003603,76419019,0.0,-0.58,0.0,0.87,97.12,97.04,0.01,0.03,3
1682339299.31993604,76518919,0.0,-0.58,0.0,0.87,97.12,97.03,0.01,0.02,3
1682339299.42001104,76618994,0.0,-0.58,0.0,0.87,97.12,97.02,0.01,0.02,3
1682339299.52004313,76719026,0.0,-0.5700000000000001,0.0,0.87,97.12,97.02,0.01,0.02,3
1682339299.62015295,76819136,0.0,-0.5700000000000001,0.0,0.86,97.12,97.02,0.01,0.02,3
1682339299.72013211,76919115,0.0,-0.56,0.0,0.86,97.12,97.01,0.01,0.02,3
1682339299.82007003,77019053,0.0,-0.55,0.0,0.86,97.0,97.0,0.01,0.01,3
1682339299.92030406,77119287,0.0,-0.55,0.0,0.86,97.0,97.0,0.01,0.02,3
1682339300.02031016,77219293,0.0,-0.54,0.0,0.86,96.98,96.98,0.01,0.02,3
1682339300.12030411,77319287,0.0,-0.54,0.0,0.86,96.96000000000001,96.96000000000001,0.01,0.03,3
1682339300.21997499,77418958,0.0,-0.54,0.0,0.86,96.94,96.94,0.01,0.02,3
1682339300.32002115,77519004,0.0,-0.53,0.0,0.86,96.93,96.92,0.01,0.02,3
1682339300.42004895,77619032,0.0,-0.53,0.0,0.86,96.93,96.91,0.01,0.02,3
1682339300.52017498,77719158,0.0,-0.53,0.0,0.86,96.93,96.89,0.01,0.02,3
1682339300.62013507,77819118,0.0,-0.52,0.0,0.86,96.93,96.89,0.01,0.02,3
1682339300.72011304,77919096,0.0,-0.52,0.0,0.85,96.93,96.86,0.01,0.02,3
1682339300.82015014,78019133,0.0,-0.52,0.0,0.86,96.93,96.88,0.01,0.02,3
1682339300.92000604,78118989,0.0,-0.52,0.0,0.86,96.93,96.86,0.01,0.02,3
1682339301.02031803,78219301,0.0,-0.52,0.0,0.85,96.93,96.84,0.01,0.02,3
1682339301.11992407,78318907,0.0,-0.53,0.0,0.84,96.93,96.85000000000001,0.01,0.02,3
1682339301.22031403,78419297,0.0,-0.47000000000000003,0.0,0.81,96.93,96.85000000000001,0.02,0.02,3
1682339301.32027912,78519262,0.0,-0.45,0.0,0.8,96.93,96.81,0.02,0.02,3
1682339301.42034793,78619331,0.0,-0.44,0.0,0.79,96.93,96.83,0.02,0.04,3
1682339301.52032304,78719306,0.0,-0.5,0.0,0.77,96.93,96.85000000000001,0.02,0.03,3
1682339301.62032294,78819306,0.0,-0.45,0.0,0.78,96.93,96.8,0.02,0.03,3
1682339301.72029305,78919276,0.0,-0.48,0.0,0.78,96.93,96.81,0.02,0.02,3
1682339301.82030201,79019285,0.0,-0.44,0.0,0.77,96.93,96.83,0.02,0.03,3
1682339301.92032194,79119305,0.0,-0.41000000000000003,0.0,0.78,96.93,96.82000000000001,0.02,0.04,3
1682339302.02026200,79219245,0.0,-0.45,0.0,0.77,96.93,96.84,0.02,0.04,3
1682339302.12061405,79319597,0.0,-0.41000000000000003,0.0,0.78,96.93,96.86,0.02,0.04,3
1682339302.22033906,79419322,0.0,-0.4,0.0,0.78,96.93,96.85000000000001,0.02,0.03,3
1682339302.32018995,79519173,0.0,-0.43,0.0,0.75,96.93,96.83,0.02,0.03,3
1682339302.42028499,79619268,0.0,-0.4,0.0,0.77,96.93,96.87,0.02,0.04,3
1682339302.52026415,79719247,0.0,-0.43,0.0,0.71,96.93,96.9,0.02,0.08,3
1682339302.62050104,79819484,0.0,-0.32,0.0,0.44,96.93,96.96000000000001,0.02,0.13,3
1682339302.72025895,79919242,-0.14,0.17,0.25,-0.13,96.93,97.01,0.02,0.17,3
1682339302.82028699,80019270,-0.24,0.48,0.51,0.09,96.93,97.04,0.02,0.21,3
1682339302.92026401,80119247,-0.26,0.3,0.67,0.32,96.93,97.05,0.02,0.21,3
1682339303.02059507,80219578,-0.49,0.16,0.77,0.29,96.93,97.02,0.02,0.2,3
1682339303.12032509,80319308,-0.91,0.15,0.77,0.32,96.93,96.97,0.02,0.21,3
1682339303.22045398,80419437,-1.12,-0.38,0.74,0.36,96.93,96.89,0.02,0.2,3
1682339303.32036614,80519349,-1.07,-0.85,0.68,0.28,96.93,96.77,0.02,0.19,3
1682339303.42015314,80619136,-1.1,-0.74,0.58,0.29,96.93,96.63,0.02,0.19,3
1682339303.52010703,80719090,-1.1300000000000001,-0.77,0.45,0.42,96.93,96.44,0.02,0.18,3
1682339303.62031603,80819299,-1.08,-0.9400000000000001,0.36,0.33,96.93,96.25,0.03,0.18,3
1682339303.72001195,80918995,-0.97,-0.85,0.31,0.23,96.93,96.08,0.03,0.19,3
1682339303.81994510,81018928,-0.79,-0.9,0.31,0.09,96.93,95.93,0.04,0.19,3
1682339303.92003512,81119018,-0.28,-0.63,0.36,0.02,96.93,95.78,0.04,0.19,3
1682339304.02010608,81219089,0.38,0.15,0.42,0.22,96.93,95.68,0.04,0.18,3
1682339304.12041497,81319398,1.1,1.25,0.49,0.42,96.93,95.57000000000001,0.04,0.15,3
1682339304.22038913,81419372,1.52,2.05,0.54,0.48,96.93,95.49,0.03,0.14,3
1682339304.32015896,81519142,1.58,2.32,0.54,0.52,96.93,95.41,0.03,0.15,3
1682339304.42013907,81619122,1.44,2.08,0.43,0.39,96.93,95.31,0.03,0.15,3
1682339304.52002406,81719007,1.17,1.58,0.28,0.13,96.93,95.23,0.03,0.14,3
1682339304.62027097,81819254,0.8200000000000001,1.24,0.05,0.04,96.93,95.2,0.02,0.14,3
1682339304.71994114,81918924,0.55,0.8200000000000001,-0.15,-0.24,96.93,95.16,0.02,0.14,3
1682339304.82001305,82018996,0.34,0.44,-0.65,-0.5700000000000001,96.93,95.16,0.02,0.14,3
1682339304.92008710,82119070,0.23,0.24,-1.71,-1.12,96.93,95.17,0.02,0.13,3
1682339305.02021909,82219202,0.17,0.22,-2.42,-2.52,96.93,95.19,0.02,0.14,3
1682339305.12016797,82319151,0.2,0.08,-3.06,-3.3000000000000003,96.93,95.23,0.02,0.16,3
1682339305.22020912,82419192,0.27,0.02,-3.42,-3.75,96.93,95.26,0.02,0.16,3
1682339305.32033014,82519313,0.33,0.17,-3.31,-3.89,96.93,95.3,0.02,0.16,3
1682339305.42001915,82619002,0.39,0.33,-3.41,-3.37,96.93,95.35000000000001,0.03,0.16,3
1682339305.52001595,82718999,0.45,0.46,-3.5,-3.35,96.93,95.4,0.03,0.14,3
1682339305.61995912,82818942,0.49,0.62,-3.5100000000000002,-3.48,96.93,95.46000000000001,0.03,0.14,3
1682339305.72002006,82919003,0.49,0.63,-3.5500000000000003,-3.27,96.93,95.52,0.03,0.13,3
1682339305.82004809,83019031,0.5,0.5700000000000001,-3.63,-3.33,96.93,95.57000000000001,0.04,0.12,3
1682339305.92019510,83119178,0.51,0.62,-3.65,-3.46,96.93,95.60000000000001,0.04,0.13,3
1682339306.02015996,83219143,0.52,0.5700000000000001,-3.68,-3.41,96.93,95.64,0.05,0.12,3
1682339306.12010193,83319085,0.54,0.6,-3.73,-3.5,96.93,95.69,0.05,0.12,3
1682339306.22036505,83419348,0.54,0.67,-3.73,-3.56,96.93,95.72,0.06,0.12,3
1682339306.32033300,83519316,0.5700000000000001,0.51,-3.66,-3.54,96.93,95.77,0.06,0.12,3
