timestamp,TimeUS,C,Roll,Pitch,Yaw,VN,VE,VD,dPD,PN,PE,PD,GX,GY,GZ,OH
1683153640.25896215,9992078,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1683153640.35897303,10092089,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1683153640.45898318,10192099,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1683153640.55891705,10292033,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1683153640.65895820,10392074,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1683153640.75892615,10492042,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1683153640.85892010,10592036,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1683153640.95898199,10692098,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1683153641.05899310,10792109,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1683153641.15898418,10892100,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1683153641.25896716,10992083,2,0.3,-0.28,0.0,0.0023148413747549057,-0.0022058028262108564,0.014921152032911777,0.0035262354649603367,0.0,0.0,0.0005616983980871737,0.0,0.0,0.0,0.0
1683153641.35897112,11092087,2,0.29,-0.28,0.0,0.0045978412963449955,-0.005041781347244978,0.05843471735715866,0.03297239542007446,0.0,0.0,0.004476820584386587,0.0,0.0,0.0,0.0
1683153641.45898914,11192105,2,0.29,-0.28,359.99,0.005311753135174513,-0.007964159362018108,0.10554381459951401,-0.4349919259548187,0.0,0.0,-0.048160336911678314,0.0,0.0,0.0,0.0
1683153641.55891299,11292029,2,0.28,-0.28,359.99,0.008106342516839504,-0.010078733786940575,0.13847403228282928,-0.5024362206459045,0.0,0.0,-0.08116194605827332,0.0,0.0,0.0,0.0
1683153641.65892410,11392040,2,0.28,-0.27,359.99,0.009528527967631817,-0.01263786293566227,0.16171902418136597,-0.2418563812971115,0.0,0.0,-0.09683029353618622,0.0,0.0,0.0,0.0
1683153641.75891709,11492033,2,0.29,-0.27,359.98,0.011729116551578045,-0.015639036893844604,0.17754146456718445,-0.06382976472377777,0.0,0.0,-0.10356896370649338,0.0,0.0,0.0,0.0
